"WEB_id","Ecosystem","FCL_short","FCL_mean","FCL_long","richness","empty","monoA.single","bi.single","s5","s4","s1","d4","d3","s2","s3","d8","d2","d1","d5","d7","d6"
80,"freshwater",2,3.46428571428571,5,27,1526,1063,0,122,115,84,0,0,15,0,0,0,0,0,0,0
81,"marine",3,3.25,4,12,76,100,0,17,8,17,0,0,2,0,0,0,0,0,0,0
82,"freshwater",3,3.66666666666667,5,10,43,46,0,2,12,13,0,0,4,0,0,0,0,0,0,0
83,"freshwater",2,2.39206349206349,4,25,1120,850,0,143,113,43,0,0,31,0,0,0,0,0,0,0
84,"freshwater",3,3.54166666666667,5,12,60,96,0,13,15,30,0,0,6,0,0,0,0,0,0,0
85,"wetland",3,3.55416666666667,5,27,1861,918,0,22,50,59,0,0,15,0,0,0,0,0,0,0
86,"marine",3,3.84375,6,16,190,239,0,28,31,55,0,0,17,0,0,0,0,0,0,0
87,"marine",3,3.25,4,12,82,82,0,24,7,19,0,0,6,0,0,0,0,0,0,0
88,"freshwater",2,2,2,16,168,207,0,65,61,48,0,0,11,0,0,0,0,0,0,0
89,"freshwater",2,2.75,4,18,405,315,0,30,27,34,0,0,5,0,0,0,0,0,0,0
90,"old-field",2,2.8,3,10,34,48,0,10,11,13,0,0,4,0,0,0,0,0,0,0
91,"forest",2,3.08333333333333,4,10,36,68,0,1,2,9,0,0,4,0,0,0,0,0,0,0
92,"mountain",3,3,3,18,555,234,0,14,3,10,0,0,0,0,0,0,0,0,0,0
93,"tundra",2,2.75,3,26,1325,879,0,215,118,54,0,0,9,0,0,0,0,0,0,0
94,"tundra",2,3,5,12,79,98,0,6,11,20,0,0,6,0,0,0,0,0,0,0
95,"tundra",2,2.58333333333333,4,10,42,63,0,3,2,7,0,0,3,0,0,0,0,0,0,0
96,"tundra",2,2,2,9,16,28,0,17,12,7,0,0,4,0,0,0,0,0,0,0
97,"tundra",2,2.33333333333333,3,11,62,55,0,23,9,14,0,0,2,0,0,0,0,0,0,0
98,"desert",2,3.125,5,17,255,289,0,27,40,45,0,0,24,0,0,0,0,0,0,0
99,"desert",3,3.23809523809524,4,48,11869,4546,0,304,352,185,0,0,40,0,0,0,0,0,0,0
100,"desert",2,2.82312925170068,NA,22,659,620,11,72,76,67,4,2,26,0,0,1,2,0,0,0
101,"freshwater",2,2,2,6,4,12,0,1,1,2,0,0,0,0,0,0,0,0,0,0
102,"marine",2,2.9136,7,9,2,13,0,0,9,22,0,0,38,0,0,0,0,0,0,0
103,"marine",2,2.98539196428571,10,23,212,594,0,263,212,221,0,0,269,0,0,0,0,0,0,0
104,"marine",2,2.77777777777778,5,27,1698,930,0,107,109,55,0,0,26,0,0,0,0,0,0,0
105,"marine",2,2.54,5,10,15,49,0,5,17,19,0,0,15,0,0,0,0,0,0,0
106,"marine",2,2.38888888888889,5,37,5408,1971,0,166,148,65,0,0,12,0,0,0,0,0,0,0
107,"marine",2,2.5,3,10,37,57,0,7,7,9,0,0,3,0,0,0,0,0,0,0
108,"marine",2,2.25,3,14,172,146,0,10,19,15,0,0,2,0,0,0,0,0,0,0
109,"marine",2,2.45,4,21,564,475,0,62,139,64,0,0,26,0,0,0,0,0,0,0
110,"marine",2,2,3,13,108,114,0,11,36,6,0,0,11,0,0,0,0,0,0,0
111,"marine",2,2.5,3,19,480,381,0,29,41,23,0,0,15,0,0,0,0,0,0,0
112,"wetland",2,2.16666666666667,3,14,192,143,0,11,8,7,0,0,3,0,0,0,0,0,0,0
113,"wetland",2,2.5,3,11,75,73,0,3,5,8,0,0,1,0,0,0,0,0,0,0
114,"freshwater",2,2.2,4,19,507,340,0,46,38,27,0,0,11,0,0,0,0,0,0,0
115,"beach",2,2.82440476190476,4,46,12261,2593,0,146,77,92,0,0,11,0,0,0,0,0,0,0
116,"freshwater",2,2.68055555555556,NA,7,0,8,0,5,5,9,0,0,8,0,0,0,0,0,0,0
117,"freshwater",3,3.5,4,13,149,110,0,6,5,15,0,0,1,0,0,0,0,0,0,0
118,"freshwater",3,3.66666666666667,NA,14,171,138,0,9,19,23,0,0,4,0,0,0,0,0,0,0
119,"freshwater",2,2,3,10,34,50,0,6,19,5,0,0,6,0,0,0,0,0,0,0
120,"freshwater",2,2.75,4,16,323,208,0,9,7,13,0,0,0,0,0,0,0,0,0,0
121,"estuary",2,2.77,5,12,33,94,0,12,28,33,0,0,20,0,0,0,0,0,0,0
122,"wetland",2,2.5,3,9,40,33,0,6,0,4,0,0,1,0,0,0,0,0,0,0
123,"grassland",1,1.71428571428571,NA,134,341919,45594,0,1133,2631,763,0,0,44,0,0,0,0,0,0,0
124,"freshwater",1,1.66666666666667,2,11,60,66,0,18,13,8,0,0,0,0,0,0,0,0,0,0
125,"marine",2,2.7037037037037,4,9,20,26,0,5,12,18,0,0,3,0,0,0,0,0,0,0
126,"freshwater",2,2.69230769230769,3,27,2006,638,0,64,163,54,0,0,0,0,0,0,0,0,0,0
127,"plant",2,3,NA,16,355,164,9,17,2,7,3,2,1,0,0,0,0,0,0,0
128,"plant",2,3,NA,14,210,122,8,11,2,6,3,0,1,0,0,0,1,0,0,0
129,"soil",2,3.08333333333333,5,13,96,143,0,14,10,18,0,0,5,0,0,0,0,0,0,0
130,"estuary",4,4.95833333333333,7,14,194,140,0,5,4,17,0,0,4,0,0,0,0,0,0,0
131,"plant",2,2.75,4,19,512,327,0,49,43,30,0,0,8,0,0,0,0,0,0,0
132,"plant",2,2.66666666666667,4,18,377,223,0,72,83,44,0,0,17,0,0,0,0,0,0,0
133,"plant",2,2,2,8,14,27,0,7,1,4,0,0,3,0,0,0,0,0,0,0
134,"plant",1,2.16666666666667,3,11,55,54,0,21,16,14,0,0,5,0,0,0,0,0,0,0
135,"plant",1,1.5,2,5,0,4,0,1,1,2,0,0,2,0,0,0,0,0,0,0
136,"plant",2,2,2,6,4,8,0,4,2,2,0,0,0,0,0,0,0,0,0,0
137,"plant",2,2,3,11,65,76,0,8,8,6,0,0,2,0,0,0,0,0,0,0
138,"plant",1,1,1,9,41,37,0,5,1,0,0,0,0,0,0,0,0,0,0,0
139,"plant",2,2.63333333333333,5,12,57,100,0,6,19,24,0,0,14,0,0,0,0,0,0,0
140,"plant",1,1,1,7,9,12,0,9,5,0,0,0,0,0,0,0,0,0,0,0
141,"plant",1,1,1,9,39,34,0,7,4,0,0,0,0,0,0,0,0,0,0,0
142,"plant",1,1,1,7,7,16,0,7,5,0,0,0,0,0,0,0,0,0,0,0
143,"soil",2,2,2,12,111,78,0,17,8,6,0,0,0,0,0,0,0,0,0,0
144,"plant",1,1,1,11,97,55,0,12,1,0,0,0,0,0,0,0,0,0,0,0
145,"plant",2,2,2,13,152,103,0,18,4,9,0,0,0,0,0,0,0,0,0,0
146,"plant",2,2,2,25,1722,512,0,39,9,18,0,0,0,0,0,0,0,0,0,0
147,"plant",2,2,2,12,127,76,0,10,0,7,0,0,0,0,0,0,0,0,0,0
148,"plant",2,2,2,13,174,81,0,21,1,9,0,0,0,0,0,0,0,0,0,0
149,"plant",2,2.8,3,8,11,8,0,11,12,6,0,0,8,0,0,0,0,0,0,0
150,"plant",3,3.58333333333333,5,9,26,29,0,12,2,11,0,0,4,0,0,0,0,0,0,0
