"FCL_long","FCL_mean","FCL_short","Richness","Chain","Omnivory","Apparent","Exploitative"
8,3.64814814814815,3,23,0.383838383838384,0.136363636363636,0.247474747474747,0.232323232323232
10,5.39583333333333,4,24,0.368421052631579,0.0861244019138756,0.248803827751196,0.296650717703349
10,3.41077083333333,2,24,0.306859205776173,0.11913357400722,0.357400722021661,0.216606498194946
12,5.0630859375,3,24,0.380165289256198,0.115702479338843,0.243801652892562,0.260330578512397
7,3.36825396825397,2,24,0.301204819277108,0.112449799196787,0.325301204819277,0.261044176706827
9,4,4,24,0.332203389830508,0.125423728813559,0.277966101694915,0.264406779661017
10,4.82395833333333,3,25,0.357142857142857,0.102040816326531,0.255102040816327,0.285714285714286
10,4.70958333333333,3,25,0.401840490797546,0.107361963190184,0.211656441717791,0.279141104294479
7,3.75,3,25,0.335820895522388,0.111940298507463,0.212686567164179,0.33955223880597
12,4.5390625,3,25,0.372168284789644,0.129449838187702,0.223300970873786,0.275080906148867
9,4.54696180555556,3,25,0.375816993464052,0.120915032679739,0.254901960784314,0.248366013071895
9,4.625,4,26,0.347701149425287,0.10632183908046,0.267241379310345,0.278735632183908
10,4.58333333333333,4,26,0.380228136882129,0.0988593155893536,0.269961977186312,0.250950570342205
11,4.63293650793651,3,26,0.376506024096386,0.117469879518072,0.240963855421687,0.265060240963855
10,4.56650132275132,3,26,0.363171355498721,0.10997442455243,0.235294117647059,0.29156010230179
10,4.34778806584362,3,26,0.382352941176471,0.111764705882353,0.214705882352941,0.291176470588235
8,3.67523871527778,3,27,0.356083086053412,0.112759643916914,0.27893175074184,0.252225519287834
8,4.3125,3,27,0.348973607038123,0.0909090909090909,0.284457478005865,0.275659824046921
10,3.88343253968254,3,27,0.353723404255319,0.117021276595745,0.257978723404255,0.271276595744681
9,3.78626543209876,3,27,0.346153846153846,0.0909090909090909,0.272727272727273,0.29020979020979
12,4.68168402777778,3,27,0.345238095238095,0.111904761904762,0.307142857142857,0.235714285714286
12,4.66637046485261,3,28,0.34070796460177,0.11283185840708,0.280973451327434,0.265486725663717
8,3.60685763888889,2,28,0.358536585365854,0.104878048780488,0.24390243902439,0.292682926829268
12,4.72306547619048,3,28,0.352,0.0986666666666667,0.296,0.253333333333333
10,4.51458333333333,3,28,0.357476635514019,0.0981308411214953,0.275700934579439,0.268691588785047
10,3.9619341563786,3,28,0.357746478873239,0.104225352112676,0.284507042253521,0.253521126760563
11,4.77741608796296,3,29,0.367983367983368,0.11018711018711,0.234927234927235,0.286902286902287
10,4.42395833333333,3,29,0.345454545454545,0.101010101010101,0.272727272727273,0.280808080808081
10,3.74169146825397,3,29,0.394014962593516,0.0972568578553616,0.271820448877805,0.236907730673317
11,4.47734375,3,29,0.35972850678733,0.104072398190045,0.282805429864253,0.253393665158371
8,3.52172619047619,2,29,0.362139917695473,0.10082304526749,0.263374485596708,0.273662551440329
13,4.88439670138889,3,30,0.379699248120301,0.101503759398496,0.265037593984962,0.253759398496241
10,4.52850942460317,3,30,0.370656370656371,0.1003861003861,0.266409266409266,0.262548262548263
13,4.63393601190476,3,30,0.349726775956284,0.107468123861566,0.260473588342441,0.282331511839709
11,4.82395833333333,3,30,0.348399246704331,0.103578154425612,0.258003766478343,0.290018832391714
11,4.68773148148148,3,30,0.35645472061657,0.10019267822736,0.25626204238921,0.287090558766859
13,5.05918981481481,3,31,0.369781312127237,0.099403578528827,0.262425447316103,0.268389662027833
13,4.87311507936508,3,31,0.358490566037736,0.108061749571184,0.267581475128645,0.265866209262436
13,4.91670735677083,3,31,0.372013651877133,0.110921501706485,0.242320819112628,0.274744027303754
13,4.70344263747165,3,31,0.353242320819113,0.104095563139932,0.26962457337884,0.273037542662116
13,4.90537037037037,3,31,0.360683760683761,0.105982905982906,0.27008547008547,0.263247863247863
