N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
16,8,0.11,2,0.3,1.5,9,0.086956522,0.086956522,0.565217391,0.260869565,2
32,4,0.09,0.5,0.9,1.25,5,0,0,0.666666667,0.333333333,1
32,8,0.11,10,0.3,1.25,11,0.04,0.08,0.36,0.52,2
32,6,0.09,1,0.7,2,9,0.4375,0,0.25,0.3125,3
32,2,0.1,10,0.6,0.75,4,0.333333333,0.333333333,0,0.333333333,2
16,6,0.1,1,0.7,0.5,3,NA,NA,NA,NA,0
48,8,0.13,0.5,0.8,2,25,0.314606742,0.078651685,0.277153558,0.329588015,7
48,4,0.1,2,0.4,0.75,0,NA,NA,NA,NA,-1
64,6,0.12,1,0.4,0.5,13,0.215686275,0.12745098,0.264705882,0.392156863,3
48,8,0.13,2,0.2,1.25,29,0.255250404,0.077544426,0.326332795,0.340872375,5
16,2,0.13,2,0.3,1.75,2,NA,NA,NA,NA,1
64,6,0.11,0.1,0.3,2,33,0.346723044,0.073995772,0.270613108,0.308668076,6
64,2,0.11,10,0.4,0.25,2,NA,NA,NA,NA,0
24,8,0.13,1,0.8,1.75,7,0,0,0.666666667,0.333333333,1
48,2,0.09,2,0.6,1.25,0,NA,NA,NA,NA,-1
32,4,0.11,0.1,0.7,0.75,9,0.458333333,0.125,0.25,0.166666667,3
16,4,0.09,1,0.8,0.25,1,NA,NA,NA,NA,0
64,6,0.12,0.5,0.4,0.75,16,0.414141414,0.111111111,0.232323232,0.242424242,4
64,8,0.13,0.1,0.9,1.25,13,0.456140351,0.070175439,0.175438596,0.298245614,4
32,8,0.12,10,0.5,1.75,12,0.45,0.075,0.275,0.2,4
48,8,0.1,0.1,0.1,0.5,13,0.341463415,0.048780488,0.195121951,0.414634146,3
16,4,0.12,10,0.8,0.25,0,NA,NA,NA,NA,-1
32,4,0.1,10,0.2,1,8,0,0.5,0,0.5,2
32,8,0.09,0.5,0.6,1,5,0.666666667,0,0.333333333,0,2
48,6,0.11,10,0.3,1.75,25,0.254901961,0.115196078,0.325980392,0.303921569,6
16,8,0.11,10,0.1,1.5,9,0.142857143,0.095238095,0.380952381,0.380952381,2
16,8,0.12,2,0.8,1.75,6,0,0,0.75,0.25,1
32,6,0.1,1,0.4,0.75,15,0.212121212,0.060606061,0.348484848,0.378787879,4
48,2,0.1,0.1,0.5,1.5,10,0.375,0.09375,0.15625,0.375,3
24,8,0.12,0.5,0.8,0.5,5,1,0,0,0,2
48,2,0.09,10,0.1,1.75,12,0.510204082,0.163265306,0.12244898,0.204081633,5
64,2,0.11,2,0.1,2,50,0.36028968,0.092939046,0.269764635,0.277006639,13
32,6,0.11,1,0.6,2,7,0.285714286,0,0.571428571,0.142857143,2
48,4,0.11,0.1,0.4,0.25,1,NA,NA,NA,NA,0
32,4,0.09,0.5,0.8,0.25,2,NA,NA,NA,NA,0
16,6,0.1,10,0.7,1.75,8,0.15,0.05,0.55,0.25,2
64,8,0.1,10,0.9,0.75,0,NA,NA,NA,NA,-1
32,2,0.09,0.1,0.2,2,2,NA,NA,NA,NA,1
64,4,0.11,1,0.7,1,25,0.339160839,0.132867133,0.174825175,0.353146853,7
48,2,0.09,0.1,0.3,1,21,0.298076923,0.091346154,0.288461538,0.322115385,5
16,6,0.12,2,0.3,0.25,2,NA,NA,NA,NA,0
16,2,0.13,0.1,0.3,1,1,NA,NA,NA,NA,0
64,8,0.1,0.5,0.7,1.75,26,0.401785714,0.049107143,0.241071429,0.308035714,6
64,8,0.13,1,0.2,1.25,34,0.302739726,0.080821918,0.282191781,0.334246575,6
