N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
64,2,0.12,0.1,0.1,0.75,11,0.315789474,0.228070175,0.210526316,0.245614035,3.444444444
64,2,0.13,0.1,0.3,1.75,26,0.261538462,0.084615385,0.342307692,0.311538462,3.333333333
16,2,0.1,2,0.1,0.5,1,NA,NA,NA,NA,0
32,4,0.09,2,0.8,1.5,11,0.323529412,0.058823529,0.117647059,0.5,2.5
32,2,0.12,0.5,0.9,0.75,2,NA,NA,NA,NA,1
32,6,0.12,0.5,0.3,1.5,15,0.307692308,0.087912088,0.285714286,0.318681319,2.8
32,4,0.09,1,0.8,2,13,0.414634146,0.170731707,0.170731707,0.243902439,3.416666667
48,4,0.13,1,0.7,1.75,2,NA,NA,NA,NA,0
16,8,0.11,0.5,0.5,1.25,7,0.25,0.083333333,0.333333333,0.333333333,1.75
16,2,0.09,10,0.3,1.25,2,NA,NA,NA,NA,0
48,6,0.13,2,0.2,1,18,0.369230769,0.123076923,0.3,0.207692308,3.5
24,8,0.11,1,0.2,1.25,10,0.387096774,0.064516129,0.290322581,0.258064516,2.666666667
16,6,0.13,1,0.1,1.5,8,0,0.166666667,0.5,0.333333333,1.333333333
24,4,0.09,0.1,0.9,0.5,1,NA,NA,NA,NA,0
32,6,0.09,1,0.7,1,4,0.5,0,0,0.5,2
48,4,0.12,0.5,0.2,0.5,11,0.265060241,0.228915663,0.228915663,0.277108434,2.68
16,2,0.12,2,0.3,1.25,9,0.333333333,0.166666667,0.222222222,0.277777778,2.666666667
32,2,0.09,0.5,0.3,1.5,12,0.418181818,0.127272727,0.218181818,0.236363636,3.194444444
64,4,0.13,0.5,0.4,1.5,27,0.378378378,0.069069069,0.228228228,0.324324324,3.99369856
32,2,0.13,1,0.3,0.75,6,0.25,0.25,0.25,0.25,1.5
48,2,0.13,0.1,0.4,0.75,1,NA,NA,NA,NA,0
24,8,0.09,0.5,0.2,0.5,2,NA,NA,NA,NA,0
16,4,0.09,0.5,0.4,2,8,0.083333333,0.083333333,0.333333333,0.5,1.333333333
48,2,0.12,10,0.9,0.25,2,NA,NA,NA,NA,1
16,4,0.11,10,0.6,0.5,0,NA,NA,NA,NA,-1
48,6,0.1,0.5,0.5,1,6,0.5,0.1,0.1,0.3,2
24,4,0.13,0.5,0.1,0.75,5,0.666666667,0,0,0.333333333,2
64,2,0.11,1,0.2,0.75,13,0.339285714,0.053571429,0.267857143,0.339285714,4
24,4,0.11,0.1,0.1,1.75,12,0.472222222,0.055555556,0.277777778,0.194444444,3
24,2,0.11,1,0.1,0.5,0,NA,NA,NA,NA,-1
24,8,0.13,0.5,0.5,1.25,10,0.3125,0.1875,0.416666667,0.083333333,2.75
32,2,0.13,0.5,0.5,1.75,7,0.461538462,0.153846154,0.153846154,0.230769231,2.5
16,6,0.09,0.1,0.5,0.75,5,0,0,1,0,1
24,4,0.11,0.5,0.6,1.25,6,0.5,0,0.333333333,0.166666667,2
32,8,0.12,1,0.6,1.5,14,0.228070175,0.070175439,0.456140351,0.245614035,2
32,6,0.09,10,0.7,1.5,14,0.395348837,0.069767442,0.186046512,0.348837209,3.5
32,2,0.11,10,0.3,1.5,12,0.379310345,0.103448276,0.310344828,0.206896552,3
32,6,0.11,0.1,0.6,0.25,5,0.666666667,0.166666667,0.166666667,0,2.5
64,6,0.13,0.5,0.7,1.25,35,0.34185022,0.125110132,0.274008811,0.259030837,3.582179586
32,2,0.09,10,0.3,1.5,16,0.394957983,0.100840336,0.193277311,0.31092437,3
16,2,0.13,10,0.4,1.25,3,NA,NA,NA,NA,1
24,6,0.1,10,0.4,1,6,0.6,0,0.2,0.2,3
48,4,0.12,10,0.7,0.75,7,0.3,0.1,0.3,0.3,2
24,4,0.12,0.5,0.9,1.25,12,0.3125,0.041666667,0.354166667,0.291666667,2.4
24,4,0.1,1,0.9,2,9,0.315789474,0,0.368421053,0.315789474,2
32,4,0.12,1,0.4,2,20,0.240343348,0.111587983,0.343347639,0.30472103,3.458333333
64,2,0.1,1,0.3,1.5,31,0.306451613,0.091397849,0.277777778,0.32437276,4.291666667
16,6,0.1,0.1,0.3,0.25,3,NA,NA,NA,NA,1
64,4,0.13,0.1,0.2,0.5,18,0.36,0.171428571,0.222857143,0.245714286,3.726388889
64,4,0.12,0.1,0.9,0.25,0,NA,NA,NA,NA,-1
64,2,0.11,10,0.7,1,3,1,0,0,0,2
48,2,0.12,10,0.3,0.25,3,1,0,0,0,2
48,2,0.09,0.5,0.5,1.5,17,0.31372549,0.117647059,0.176470588,0.392156863,3.43125
48,6,0.1,0.1,0.9,1,6,0.444444444,0,0.444444444,0.111111111,2
24,8,0.1,1,0.2,0.5,7,0,0,0,1,1
16,6,0.09,1,0.5,1.75,7,0,0,0.5,0.5,1
32,6,0.11,10,0.6,1.25,11,0.24137931,0.086206897,0.517241379,0.155172414,2
16,6,0.12,0.1,0.4,1.75,7,0.3,0.2,0.5,0,1.444444444
16,6,0.1,1,0.3,2,12,0.204545455,0.136363636,0.431818182,0.227272727,2
48,8,0.11,2,0.1,1,26,0.296450939,0.114822547,0.313152401,0.275574113,3.247345679
64,6,0.1,0.5,0.6,1,14,0.263157895,0.094736842,0.284210526,0.357894737,2.708333333
16,8,0.11,10,0.3,0.5,8,0.285714286,0,0.571428571,0.142857143,1.666666667
32,4,0.11,0.5,0.2,0.25,0,NA,NA,NA,NA,-1
48,6,0.12,2,0.8,0.25,1,NA,NA,NA,NA,0
64,2,0.1,10,0.7,2,8,0.571428571,0.142857143,0,0.285714286,3
48,2,0.09,0.1,0.8,0.25,1,NA,NA,NA,NA,0
16,6,0.1,1,0.3,1,8,0.384615385,0,0.153846154,0.461538462,2
16,6,0.12,0.1,0.3,1,9,0.6,0.3,0.1,0,3.666666667
64,6,0.11,0.5,0.8,1.5,21,0.317073171,0.097560976,0.296747967,0.288617886,3.675347222
64,6,0.12,2,0.3,0.25,10,0.277777778,0,0.5,0.222222222,2
16,4,0.1,10,0.2,1,4,0.666666667,0,0,0.333333333,2
64,6,0.13,0.1,0.7,0.25,2,NA,NA,NA,NA,0
48,6,0.11,2,0.7,0.25,0,NA,NA,NA,NA,-1
24,4,0.13,0.1,0.2,1,11,0.371428571,0.142857143,0.285714286,0.2,3.5
24,2,0.12,2,0.8,1,1,NA,NA,NA,NA,0
16,4,0.1,0.1,0.6,1.25,7,0.117647059,0.117647059,0.352941176,0.411764706,1.625
64,2,0.09,0.5,0.2,0.5,7,0.421052632,0.052631579,0.263157895,0.263157895,2
64,4,0.09,1,0.6,0.75,1,NA,NA,NA,NA,0
24,2,0.09,10,0.9,1,1,NA,NA,NA,NA,0
64,2,0.13,2,0.7,1.5,0,NA,NA,NA,NA,-1
24,4,0.13,2,0.9,1.75,5,0.333333333,0,0.333333333,0.333333333,1.5
48,2,0.09,0.1,0.5,1.25,5,1,0,0,0,2
24,4,0.09,2,0.8,1.25,7,0.375,0.5,0,0.125,2.833333333
64,2,0.12,2,0.9,1,3,1,0,0,0,2
64,8,0.1,2,0.8,1.75,28,0.362537764,0.087613293,0.296072508,0.253776435,3.596428571
48,8,0.12,10,0.8,0.5,3,NA,NA,NA,NA,1
48,8,0.1,10,0.4,0.75,6,0,0,0.25,0.75,1
16,8,0.09,10,0.3,0.75,6,NA,NA,NA,NA,1
24,8,0.11,10,0.4,1,9,0.3,0.1,0.3,0.3,2
48,2,0.12,0.1,0.3,1.5,11,0.4,0.171428571,0.114285714,0.314285714,2.9375
16,8,0.11,2,0.2,1.75,8,0.25,0,0.5,0.25,2
16,2,0.1,2,0.1,1.5,3,NA,NA,NA,NA,1
32,8,0.12,0.5,0.1,0.75,13,0.351351351,0.081081081,0.324324324,0.243243243,2.75
16,4,0.12,1,0.9,1.75,3,0,0,1,0,1
16,8,0.09,0.5,0.7,1.5,4,NA,NA,NA,NA,1
48,2,0.12,1,0.6,1,9,0.555555556,0.055555556,0.166666667,0.222222222,3.666666667
32,6,0.13,2,0.1,1.25,21,0.322222222,0.094444444,0.255555556,0.327777778,3.493055556
64,6,0.12,10,0.6,0.5,0,NA,NA,NA,NA,-1
32,6,0.1,1,0.1,0.5,9,0.235294118,0.176470588,0.411764706,0.176470588,2.333333333
64,2,0.11,0.5,0.2,0.25,1,NA,NA,NA,NA,0
16,4,0.13,1,0.6,0.75,5,0,0,1,0,1
16,4,0.11,1,0.7,0.25,1,NA,NA,NA,NA,0
16,4,0.11,2,0.9,1.25,2,NA,NA,NA,NA,0
64,4,0.12,1,0.1,1.75,30,0.344537815,0.12394958,0.294117647,0.237394958,3.697410714
48,4,0.13,0.5,0.3,1.75,29,0.281535649,0.10786106,0.285191956,0.325411335,4.112801753
48,4,0.13,2,0.4,1.25,19,0.300578035,0.12716763,0.329479769,0.242774566,5.5
48,2,0.12,0.1,0.9,2,10,0.535714286,0.25,0.107142857,0.107142857,4.555555556
48,8,0.11,0.5,0.4,0.75,9,0.157894737,0.105263158,0.421052632,0.315789474,2
64,6,0.1,10,0.4,1.5,31,0.41475827,0.058524173,0.259541985,0.267175573,4.248375
24,2,0.11,0.5,0.2,0.5,1,NA,NA,NA,NA,0
48,4,0.1,0.5,0.4,0.5,3,0,0,1,0,1
16,4,0.1,2,0.5,1.5,5,1,0,0,0,2
48,4,0.11,10,0.6,0.25,0,NA,NA,NA,NA,-1
48,6,0.1,0.5,0.5,1,13,0.352941176,0.102941176,0.338235294,0.205882353,3.018518519
64,2,0.13,2,0.2,2,48,0.294465715,0.133310129,0.313261399,0.258962757,5.040129835
48,2,0.12,1,0.1,2,18,0.427536232,0.050724638,0.260869565,0.260869565,4.283333333
24,4,0.1,2,0.7,1,5,1,0,0,0,2
24,2,0.13,1,0.5,1,8,0.578947368,0.052631579,0.210526316,0.157894737,3.333333333
24,6,0.12,0.5,0.1,0.75,12,0.302325581,0.11627907,0.325581395,0.255813953,2
16,4,0.12,0.1,0.9,0.5,2,NA,NA,NA,NA,0
16,4,0.11,1,0.9,0.75,4,NA,NA,NA,NA,1
48,8,0.13,0.1,0.5,1.25,19,0.38028169,0.105633803,0.281690141,0.232394366,3.324074074
48,6,0.12,0.1,0.8,0.25,4,0,0.333333333,0,0.666666667,1.5
64,2,0.12,1,0.4,1,4,NA,NA,NA,NA,1
64,6,0.09,0.1,0.3,1.5,28,0.390670554,0.081632653,0.233236152,0.294460641,3.975405093
16,4,0.11,0.5,0.9,0.5,2,NA,NA,NA,NA,1
64,6,0.11,2,0.5,0.25,1,NA,NA,NA,NA,0
48,4,0.11,1,0.5,0.75,4,NA,NA,NA,NA,1
16,8,0.12,10,0.3,1.5,8,0.083333333,0.083333333,0.583333333,0.25,1.25
24,6,0.11,0.1,0.9,1.75,9,0.227272727,0.045454545,0.363636364,0.363636364,2
16,8,0.11,0.1,0.8,1,5,0,0,0.5,0.5,1
64,4,0.09,0.5,0.6,2,24,0.322147651,0.100671141,0.355704698,0.22147651,3.875
24,8,0.13,0.5,0.5,0.5,8,0.2,0,0.6,0.2,1.333333333
32,6,0.13,10,0.9,1.75,7,0,0.333333333,0.333333333,0.333333333,1.5
32,4,0.13,10,0.5,1.5,11,0.244444444,0.066666667,0.311111111,0.377777778,2
24,6,0.11,10,0.2,0.5,6,0.25,0,0.5,0.25,2
16,4,0.12,2,0.8,1.25,6,0,0,0.25,0.75,1
48,4,0.09,0.1,0.3,1,22,0.351598174,0.114155251,0.214611872,0.319634703,4.333333333
24,8,0.12,0.1,0.3,1.25,14,0.274193548,0.048387097,0.370967742,0.306451613,2
64,4,0.11,2,0.1,1.25,11,0.363636364,0,0.272727273,0.363636364,2
64,6,0.13,0.5,0.3,1.25,36,0.315918367,0.137142857,0.313469388,0.233469388,4.117069882
32,2,0.12,2,0.1,0.5,10,0.326530612,0.183673469,0.306122449,0.183673469,3.5
24,4,0.13,0.1,0.7,2,11,0.366666667,0.033333333,0.366666667,0.233333333,2.5
48,2,0.13,0.1,0.4,1.5,1,NA,NA,NA,NA,0
32,8,0.09,0.5,0.8,1.25,16,0.395604396,0.054945055,0.285714286,0.263736264,3.305555556
32,6,0.11,2,0.7,1.25,13,0.314285714,0.142857143,0.228571429,0.314285714,3.125
16,8,0.11,2,0.1,0.5,8,0,0,0.428571429,0.571428571,1
48,8,0.1,0.1,0.6,0.25,3,0,0,1,0,1
64,4,0.12,0.1,0.7,0.25,2,NA,NA,NA,NA,1
48,4,0.13,0.1,0.4,1.25,18,0.319767442,0.145348837,0.209302326,0.325581395,3.9625
64,4,0.12,10,0.6,0.5,4,NA,NA,NA,NA,1
32,2,0.11,1,0.5,0.5,1,NA,NA,NA,NA,0
32,6,0.1,2,0.7,1.25,9,0.181818182,0.090909091,0.333333333,0.393939394,2.208333333
16,6,0.1,10,0.7,1.75,5,0,0.25,0.25,0.5,1.5
16,2,0.09,10,0.3,2,2,NA,NA,NA,NA,1
24,2,0.13,2,0.9,0.25,0,NA,NA,NA,NA,-1
64,8,0.11,2,0.3,1.75,35,0.299625468,0.131086142,0.261235955,0.308052434,3.635329933
