N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
24,8,0.12,2,0.9,0.75,4,NA,NA,NA,NA,1
48,2,0.09,1,0.3,0.5,0,NA,NA,NA,NA,-1
24,8,0.09,10,0.7,0.5,5,0,0,0.75,0.25,1
48,4,0.11,0.5,0.6,0.5,3,NA,NA,NA,NA,1
32,4,0.09,10,0.4,1.75,20,0.251968504,0.05511811,0.401574803,0.291338583,2
24,4,0.09,1,0.5,2,9,0.285714286,0.071428571,0.142857143,0.5,2
16,2,0.12,10,0.4,1.5,4,0,1,0,0,1
32,8,0.09,0.1,0.5,1.25,12,0.161290323,0,0.35483871,0.483870968,2
48,8,0.11,2,0.9,0.75,5,0.666666667,0,0.333333333,0,2
24,8,0.13,0.5,0.2,1.5,13,0.307692308,0.092307692,0.430769231,0.169230769,2
48,8,0.12,1,0.1,0.75,13,0.355932203,0.101694915,0.237288136,0.305084746,2
64,2,0.1,0.1,0.2,1.25,26,0.402555911,0.102236422,0.214057508,0.28115016,3
32,8,0.11,1,0.7,1.5,12,0.206896552,0.172413793,0.275862069,0.344827586,2
64,4,0.09,0.5,0.6,0.75,5,NA,NA,NA,NA,1
48,2,0.11,10,0.7,1.5,12,0.381578947,0.171052632,0.263157895,0.184210526,3
48,4,0.12,0.5,0.3,0.5,3,NA,NA,NA,NA,1
24,6,0.13,0.5,0.6,0.75,3,NA,NA,NA,NA,1
16,4,0.09,0.1,0.3,0.75,4,NA,NA,NA,NA,1
32,8,0.09,10,0.9,2,18,0.236641221,0.083969466,0.41221374,0.267175573,2
32,4,0.11,0.1,0.3,1.25,7,0.230769231,0.384615385,0.230769231,0.153846154,2
32,2,0.12,0.5,0.1,1.25,20,0.341317365,0.131736527,0.263473054,0.263473054,5
16,6,0.1,0.1,0.3,1.75,10,0.272727273,0.121212121,0.303030303,0.303030303,2
48,2,0.1,0.5,0.5,1.5,11,0.333333333,0.176470588,0.196078431,0.294117647,3
32,8,0.09,1,0.5,1,6,0.5,0,0.3,0.2,2
16,2,0.13,2,0.3,1.25,2,NA,NA,NA,NA,0
48,6,0.11,0.1,0.8,1,18,0.319444444,0.083333333,0.263888889,0.333333333,3
64,4,0.11,0.1,0.5,2,39,0.353680431,0.089766607,0.272890485,0.283662478,3
48,8,0.13,2,0.3,0.75,16,0.427083333,0.041666667,0.25,0.28125,3
32,8,0.12,0.1,0.1,1.5,22,0.302325581,0.063953488,0.36627907,0.26744186,2
32,6,0.12,1,0.8,1,4,0,0,1,0,1
64,2,0.1,10,0.5,1,14,0.309090909,0.145454545,0.381818182,0.163636364,2
24,8,0.09,1,0.6,2,13,0.129032258,0.129032258,0.241935484,0.5,1
48,8,0.09,1,0.2,1.75,23,0.26953125,0.05078125,0.37109375,0.30859375,2
24,6,0.1,1,0.5,2,10,0.208333333,0.041666667,0.416666667,0.333333333,1
64,4,0.09,10,0.7,1.5,21,0.345971564,0.113744076,0.199052133,0.341232227,3
48,4,0.11,2,0.9,1.75,8,0.357142857,0.214285714,0.428571429,0,1
24,6,0.1,10,0.7,1.5,3,0,1,0,0,1
64,6,0.1,10,0.1,1.75,38,0.273623665,0.134757601,0.362366475,0.22925226,3
32,8,0.13,0.1,0.6,1,8,0.071428571,0.214285714,0.535714286,0.178571429,1
64,6,0.12,10,0.3,2,38,0.301665034,0.098922625,0.310479922,0.288932419,3
24,6,0.12,1,0.3,1.5,10,0.148148148,0.111111111,0.37037037,0.37037037,2
16,6,0.11,10,0.2,0.25,2,NA,NA,NA,NA,0
48,8,0.09,0.1,0.2,0.5,6,0.3,0.2,0.5,0,1
32,4,0.12,0.5,0.4,0.75,1,NA,NA,NA,NA,0
16,2,0.11,2,0.1,0.5,1,NA,NA,NA,NA,0
64,2,0.09,0.1,0.9,2,1,NA,NA,NA,NA,0
48,6,0.11,0.5,0.5,1.75,8,0.5,0.083333333,0.166666667,0.25,2
24,6,0.09,0.5,0.9,0.75,1,NA,NA,NA,NA,0
32,8,0.13,1,0.6,2,15,0.3203125,0.1171875,0.328125,0.234375,2
16,4,0.12,0.5,0.7,1.25,4,NA,NA,NA,NA,1
64,8,0.12,0.1,0.8,0.75,10,0.466666667,0.066666667,0.2,0.266666667,2
16,6,0.12,0.1,0.8,2,9,0.25,0.05,0.45,0.25,1
48,2,0.11,10,0.1,1,10,0.333333333,0.156862745,0.37254902,0.137254902,2
48,6,0.1,10,0.9,1,11,0.291666667,0.041666667,0.333333333,0.333333333,2
